"skills","job_title","company","salary_year_avg"
"sql","Associate Director- Data Insights","AT&T","255829.5"
"python","Associate Director- Data Insights","AT&T","255829.5"
"r","Associate Director- Data Insights","AT&T","255829.5"
"azure","Associate Director- Data Insights","AT&T","255829.5"
"databricks","Associate Director- Data Insights","AT&T","255829.5"
"aws","Associate Director- Data Insights","AT&T","255829.5"
"pandas","Associate Director- Data Insights","AT&T","255829.5"
"pyspark","Associate Director- Data Insights","AT&T","255829.5"
"jupyter","Associate Director- Data Insights","AT&T","255829.5"
"excel","Associate Director- Data Insights","AT&T","255829.5"
"tableau","Associate Director- Data Insights","AT&T","255829.5"
"power bi","Associate Director- Data Insights","AT&T","255829.5"
"powerpoint","Associate Director- Data Insights","AT&T","255829.5"
"sql","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"python","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"r","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"hadoop","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"tableau","Data Analyst, Marketing","Pinterest Job Advertisements","232423.0"
"sql","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"crystal","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"oracle","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"tableau","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"flow","Data Analyst (Hybrid/Remote)","Uclahealthcareers","217000.0"
"sql","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"python","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"go","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"snowflake","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"pandas","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"numpy","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"excel","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"tableau","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"gitlab","Principal Data Analyst (Remote)","SmartAsset","205000.0"
"sql","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"python","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"azure","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"aws","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"oracle","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"snowflake","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"tableau","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"power bi","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"sap","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"jenkins","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"bitbucket","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"atlassian","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"jira","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"confluence","Director, Data Analyst - HYBRID","Inclusively","189309.0"
"sql","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"python","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"r","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"git","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"bitbucket","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"atlassian","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"jira","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"confluence","Principal Data Analyst, AV Performance Analysis","Motional","189000.0"
"sql","Principal Data Analyst","SmartAsset","186000.0"
"python","Principal Data Analyst","SmartAsset","186000.0"
"go","Principal Data Analyst","SmartAsset","186000.0"
"snowflake","Principal Data Analyst","SmartAsset","186000.0"
"pandas","Principal Data Analyst","SmartAsset","186000.0"
"numpy","Principal Data Analyst","SmartAsset","186000.0"
"excel","Principal Data Analyst","SmartAsset","186000.0"
"tableau","Principal Data Analyst","SmartAsset","186000.0"
"gitlab","Principal Data Analyst","SmartAsset","186000.0"
"sql","ERM Data Analyst","Get It Recruit - Information Technology","184000.0"
"python","ERM Data Analyst","Get It Recruit - Information Technology","184000.0"
"r","ERM Data Analyst","Get It Recruit - Information Technology","184000.0"
